"annee","age","nee.france","cp.naissance","sexe","nb.freres.soeurs","taille","pointure","couleur.yeux","couleur.yeux.mere","couleur.derniere.voiture","last.departement","visite","football","rugby","bac","mention","csp","moy.math","bac.math","bac.eps"
2007,19,"Oui",77000,"Masculin",1,175,42,"Marron","Marron","Noire",77,"Le Mexique","Beaucoup","Un peu","S","P","Cadre, profession intellectuelle supérieure",13,13,18
2007,19,"Oui",11000,"Masculin",1,179,43,"Marron","Marron","Rouge",66,"Saint-Pétersbourg","Un peu","Un peu","ES","P","Profession intermédiaire",6,13.5,14.5
2007,18,"Oui",66000,"Masculin",0,182,42,"Bleu","Vert","Blanche",66,,"Beaucoup","Un peu","ES","P","Profession intermédiaire",8,17,15
2007,20,"Oui",45700,"Masculin",3,171,42,"Bleu","Vert","Grise",45,,"Un peu","Un peu","S","P","Autres",9,12,13
2007,17,"Oui",31000,"Masculin",2,177,44,"Vert","Vert","Blanche",31,"Île de Pâques","Beaucoup","Beaucoup","ES","AB","Autres",15,17,9
2007,21,"Oui",94000,"Féminin",1,165,41,"Vert","Bleu","Blanche",66,"Cité de Carcassonne","Pas du tout","Un peu","S","P","Autres",12,11,12
2007,21,"Oui",59000,"Féminin",3,175,39,"Marron","Marron","Rouge",,"Monaco","Un peu","Pas du tout","STI","P","Retraité",,15,13
2007,19,"Oui",11000,"Féminin",2,168,40,"Bleu","Vert","Noire",33,,"Pas du tout","Un peu","S","AB","Agriculteur exploitant",,11,12
2007,18,"Oui",97200,"Féminin",2,164,39,"Marron","Vert","Dorée",97,"Les Bahamas","Pas du tout","Pas du tout","S","AB","Employé",10,11,14
2007,18,"Oui",66740,"Masculin",1,179,45,"Marron","Marron","Grise",66,"Aqualand","Pas du tout","Pas du tout","ES","AB","Cadre, profession intellectuelle supérieure",10,13,15
2007,18,"Oui",11000,"Masculin",2,180,44,"Vert","Bleu","Grise",66,"New York","Beaucoup","Un peu","S","P",,8,10,12
2007,18,"Oui",34000,"Féminin",2,168,40,"Vert","Marron","Bleue",34,"Espagne","Pas du tout","Un peu","ES","P","Employé",11,15,10
2007,18,"Oui",18100,"Féminin",1,158,37,"Bleu","Marron","Blanche",66,"Londres","Pas du tout","Pas du tout","S","P",,8,10,9
2007,19,"Oui",11000,"Masculin",1,165,42,"Vert","Vert","Rouge",66,"Los Angeles","Beaucoup","Pas du tout","ES","AB","Artisan, commerçant, profession libérale",17,19,15
2007,18,"Oui",19100,"Masculin",2,170,41,"Marron","Marron","Rouge",19,"Chutes du Niagara","Beaucoup","Beaucoup","S","AB","Artisan, commerçant, profession libérale",11,17,13
2007,20,"Oui",11000,"Masculin",2,172,42,"Marron","Bleu","Rouge",34,"Dallas","Un peu","Un peu","S","P","Retraité",8,4,18
2007,19,"Oui",11610,"Masculin",2,,,"Marron","Marron","Bleue",31,"Santiago Bernabev","Beaucoup","Beaucoup","ES","P","Autres",7,10,14
2007,20,"Oui",11000,"Féminin",1,160,39,"Marron","Vert","Grise",31,"Paris","Pas du tout","Pas du tout","ES","AB","Employé",14,15,11
2007,18,"Oui",59000,"Masculin",4,182,47,"Bleu","Vert",,59,"Paris","Un peu","Un peu","S","P","Retraité",6,10,13
2007,19,"Non",,"Masculin",1,188,45,"Marron","Marron","Noire",9,"Appartements des autres","Un peu","Un peu","ES","P","Artisan, commerçant, profession libérale",12.5,8,14
2007,20,"Non",,"Masculin",3,175,42,"Marron","Marron","Noire",31,,"Un peu","Un peu","ES","AB","Cadre, profession intellectuelle supérieure",16,17,18
2007,18,"Oui",34000,"Féminin",1,167,39,"Marron","Marron","Rouge",30,"Sidney","Un peu","Un peu",,,,,,
2007,18,"Oui",33000,"Féminin",4,169,39,"Bleu","Bleu","Jaune",31,"Vienne","Un peu","Un peu","ES","P","Retraité",12.5,16,11
2007,20,"Oui",45000,"Féminin",2,159,40,"Vert","Marron","Grise",63,"Pays de l'Est","Un peu","Un peu","ES","P","Cadre, profession intellectuelle supérieure",15,18,13
2007,20,"Non",,"Masculin",2,183,,"Marron","Marron","Bleue",34,"Lune","Beaucoup","Un peu","S","AB","Cadre, profession intellectuelle supérieure",16,16.5,14
2009,20,"Oui",69000,"Masculin",2,185,44,"Marron","Marron","grise",31,"Statue liberté (NY)","Beaucoup","Un peu","STG","P","Ouvrier",12,16,
2009,23,"Non",,"Masculin",2,170,,"Marron","Marron",,,"Paris","Beaucoup","Pas du tout","Autre",,"Agriculteur exploitant",,,
2009,22,"Non",,"Masculin",1,160,39,"Vert","Bleu","grise",31,"New York","Pas du tout","Un peu","ES","P","Employé",15,17,15
2009,19,"Oui",84000,"Masculin",2,183,43,"Bleu","Bleu","rouge",34,"Antarctique","Pas du tout","Pas du tout","S","AB","Employé",8,13,13
2009,19,"Oui",11000,"Masculin",3,175,43,"Vert","Vert","blanche",31,"Barcelone","Beaucoup","Pas du tout","STG","P","Autres",,13,15
2009,17,"Oui",80000,"Masculin",1,182,44,"Marron","Marron","rose",33,"Afrique du Nord","Un peu","Un peu","S","AB","Artisan, commerçant, profession libérale",10,11,19
2009,17,"Oui",6600,"Masculin",1,190,46,"Marron","Marron","blanche",66,"Rome","Beaucoup","Un peu","S","P","Cadre, profession intellectuelle supérieure",8,8,15
2009,25,"Oui",75000,"Masculin",0,179,44,"Marron","Marron","bleu ciel métalisé",78,"Chutes du Niagara","Un peu","Un peu","S","P","Employé",12,12,12
2009,22,"Non",,"Masculin",1,190,44,"Marron","Marron","noire",66,"Londres","Un peu","Pas du tout","S","P","Employé",12,10,
2009,20,"Oui",83000,"Masculin",0,172,42,"Vert","Bleu","noire",73,"Rome","Pas du tout","Un peu","S","AB","Cadre, profession intellectuelle supérieure",10,8,10
2009,18,"Oui",11000,"Masculin",0,180,46,"Marron","Marron","grise",31,"Londres","Pas du tout","Beaucoup","S","P","Ouvrier",10,12,17
2009,17,"Oui",11000,"Masculin",0,177,44,"Marron","Marron","rouge bordeaux",34,"Grèce","Un peu","Pas du tout","S","P","Artisan, commerçant, profession libérale",10,10,13
