Date;Zone;Prix_SP95;Prix Gazole;Trafic Routier;Voyageurs TC;Index SP95;Index Trafic;Index TC;Var SP95 %;Var Trafic %;Var TC %;Niveau Prix SP95;Niveau Prix Gazole;Var Gazole %;Index Gazole;;;;;;
2019-01;Urbaine;1,450 €;1,380 €;12562;9007;95,29;92,75;86,44;;;;Bas;Bas;;95,72;;;;;;
2019-01;Périurbaine;1,450 €;1,380 €;10624;1377;95,29;92,89;86,41;;;;Bas;Bas;;95,72;;;;;;
2019-01;Rurale;1,450 €;1,380 €;4760;212;95,29;93,03;86,53;;;;Bas;Bas;;95,72;;moyenne 2019;;;;
2019-02;Urbaine;1,480 €;1,410 €;12328;9219;97,26;91,02;88,48;2,07%;-1,86%;2,35%;Bas;Bas;2,17%;97,80;;;SP95;Trafic;TC;Gazole 
2019-02;Périurbaine;1,480 €;1,410 €;10409;1410;97,26;91,01;88,48;2,07%;-2,02%;2,40%;Bas;Bas;2,17%;97,80;;GLOBALE ;1,521666667;10032,69444;4086,027778;1,441666667
2019-02;Rurale;1,480 €;1,410 €;4656;217;97,26;91,00;88,57;2,07%;-2,18%;2,36%;Bas;Bas;2,17%;97,80;;;;;;
2019-03;Urbaine;1,500 €;1,430 €;13186;9854;98,58;97,35;94,57;1,35%;6,96%;6,89%;Bas;Bas;1,42%;99,19;; ;;;;
2019-03;Périurbaine;1,500 €;1,430 €;11111;1507;98,58;97,15;94,57;1,35%;6,74%;6,88%;Bas;Bas;1,42%;99,19;;;ZONE ;;;
2019-03;Rurale;1,500 €;1,430 €;4960;232;98,58;96,94;94,69;1,35%;6,53%;6,91%;Bas;Bas;1,42%;99,19;;;URBAINE ;13544,5;10419,5;
2019-04;Urbaine;1,550 €;1,470 €;13495;10172;101,86;99,63;97,62;3,33%;2,34%;3,23%;Moyen;Bas;2,80%;101,97;;;PERI;11437,16667;1593,583333;
2019-04;Périurbaine;1,550 €;1,470 €;11354;1556;101,86;99,27;97,64;3,33%;2,19%;3,25%;Moyen;Bas;2,80%;101,97;;;RURALE;5116,416667;245;
2019-04;Rurale;1,550 €;1,470 €;5061;239;101,86;98,92;97,55;3,33%;2,04%;3,02%;Moyen;Bas;2,80%;101,97;;;;;;
2019-05;Urbaine;1,570 €;1,480 €;14021;10596;103,18;103,52;101,69;1,29%;3,90%;4,17%;Moyen;Bas;0,68%;102,66;;;;;;
2019-05;Périurbaine;1,570 €;1,480 €;11806;1621;103,18;103,22;101,72;1,29%;3,98%;4,18%;Moyen;Bas;0,68%;102,66;;;;;;
2019-05;Rurale;1,570 €;1,480 €;5266;249;103,18;102,92;101,63;1,29%;4,05%;4,18%;Moyen;Bas;0,68%;102,66;;;;;;
2019-06;Urbaine;1,550 €;1,450 €;14264;10914;101,86;105,31;104,75;-1,27%;1,73%;3,00%;Moyen;Bas;-2,03%;100,58;;;;;;
2019-06;Périurbaine;1,550 €;1,450 €;12024;1669;101,86;105,13;104,73;-1,27%;1,85%;2,96%;Moyen;Bas;-2,03%;100,58;;;;;;
2019-06;Rurale;1,550 €;1,450 €;5370;257;101,86;104,96;104,90;-1,27%;1,97%;3,21%;Moyen;Bas;-2,03%;100,58;;;;;;
2019-07;Urbaine;1,520 €;1,430 €;14909;12715;99,89;110,07;122,03;-1,94%;4,52%;16,50%;Bas;Bas;-1,38%;99,19;;;;;;
2019-07;Périurbaine;1,520 €;1,430 €;12585;1945;99,89;110,04;122,05;-1,94%;4,67%;16,54%;Bas;Bas;-1,38%;99,19;;;;;;
2019-07;Rurale;1,520 €;1,430 €;5628;299;99,89;110,00;122,04;-1,94%;4,80%;16,34%;Bas;Bas;-1,38%;99,19;;;;;;
2019-08;Urbaine;1,500 €;1,420 €;14621;12504;98,58;107,95;120,01;-1,32%;-1,93%;-1,66%;Bas;Bas;-0,70%;98,50;;;;;;
